2097152, 1655.341386, 701.412087, 892.557031, 387.278536, 2.360013 ,2.304690
4194304, 1627.654933, 703.730474, 891.134765, 387.364377, 2.312895 ,2.300508
8388608, 1590.498654, 698.747876, 886.342149, 386.041657, 2.276213 ,2.295975
1024, 1462.853607, 682.666436, 853.332010, 379.258926, 2.142853 ,2.249998
2048, 1575.385846, 682.667263, 853.333303, 379.259182, 2.307692 ,2.250000
4096, 1638.399445, 694.237567, 871.489471, 379.259310, 2.359998 ,2.297872
8192, 1122.191625, 671.475503, 853.333303, 379.259246, 1.671232 ,2.250000
16384, 1671.837038, 697.191469, 876.149709, 381.023256, 2.397960 ,2.299465
32768, 1680.410315, 697.191523, 878.498653, 381.023256, 2.410256 ,2.305630
65536, 1663.350182, 696.450586, 879.677855, 381.023256, 2.388325 ,2.308725
131072, 1704.447338, 696.820844, 880.268644, 380.912525, 2.446034 ,2.310947
262144, 1706.666687, 696.820837, 875.857006, 380.912525, 2.449219 ,2.299365
524288, 1691.251616, 695.803583, 876.442661, 376.508438, 2.430645 ,2.327817
1048576, 1680.949026, 697.608941, 883.606641, 378.465314, 2.409586 ,2.334710
2097152, 1633.804921, 691.992345, 878.461860, 367.174172, 2.361016 ,2.392494
4194304, 1617.673558, 699.715397, 885.939632, 386.571797, 2.311902 ,2.291785
8388608, 1599.810812, 696.901886, 892.291197, 386.438236, 2.295604 ,2.309014
